ds,y,distribution_center_id,inventory_item_id
1/1/2023,3,1,221350
1/1/2023,1,1,309712
1/1/2023,2,1,61815
1/1/2023,2,1,90300
1/1/2023,3,2,94387
1/1/2023,1,2,337404
1/1/2023,4,2,341793
1/1/2023,3,3,94381
1/1/2023,2,3,173226
1/1/2023,4,3,341789
1/1/2023,2,3,111578
1/1/2023,1,3,402412
1/1/2023,3,4,94385
1/1/2023,1,5,447945
1/1/2023,2,6,61818
1/1/2023,2,6,173228
1/1/2023,2,6,90298
1/1/2023,1,7,86751
1/1/2023,3,8,221353
1/1/2023,1,8,269355
1/1/2023,4,8,341783
1/1/2023,1,8,255045
1/1/2023,4,8,341787
1/1/2023,2,8,178474
1/1/2023,2,9,111581
1/1/2023,2,9,178476
1/1/2023,1,9,69585
1/1/2023,1,9,63987
1/1/2023,1,10,133281
1/1/2023,3,10,221355
1/1/2023,1,10,215052
1/2/2023,3,1,117825
1/2/2023,4,1,459599
1/2/2023,2,2,243974
1/2/2023,1,2,214948
1/2/2023,1,2,302013
1/2/2023,1,2,78120
1/2/2023,3,2,117818
1/2/2023,2,2,243971
1/2/2023,3,3,161764
1/2/2023,1,3,446683
1/2/2023,4,3,466144
1/2/2023,2,3,374246
1/2/2023,4,4,466142
1/2/2023,4,4,459606
1/2/2023,3,5,117821
1/2/2023,1,6,40451
1/2/2023,3,6,161766
1/2/2023,4,6,466140
1/2/2023,1,6,94041
1/2/2023,1,7,56249
1/2/2023,1,8,377140
1/2/2023,4,8,459604
1/2/2023,1,8,210718
1/2/2023,2,8,374248
1/2/2023,1,8,6169
1/2/2023,1,9,365811
1/2/2023,4,9,459601
1/2/2023,1,9,145959
1/2/2023,4,10,466137
1/2/2023,1,10,326306
1/2/2023,3,10,161762
1/3/2023,1,1,292179
1/3/2023,1,1,480677
1/3/2023,2,1,350259
1/3/2023,1,1,436807
1/3/2023,2,1,141166
1/3/2023,4,1,152950
1/3/2023,4,1,15746
1/3/2023,4,1,15743
1/3/2023,1,2,444621
1/3/2023,1,2,101434
1/3/2023,1,2,45045
1/3/2023,1,2,463985
1/3/2023,3,2,347647
1/3/2023,2,3,386349
1/3/2023,4,3,152946
1/3/2023,4,3,240021
1/3/2023,2,3,386347
1/3/2023,1,3,156846
1/3/2023,1,4,215726
1/3/2023,4,4,240018
1/3/2023,2,5,141169
